image,film,ligand,sa,kd,l
mf#rh#11539#R#kain#5688#22,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#23,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#24,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#25,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#26,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#27,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#28,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#29,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#30,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#31,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5688#32,mf5688,kain,58,12,10.42
mf#rh#11539#R#kain#5689#33,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#34,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#35,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#36,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#37,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#38,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#39,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#40,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#41,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#42,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#43,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#44,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#45,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#46,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#47,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#48,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#49,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#50,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#51,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#52,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#53,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#54,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#55,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#56,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#57,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#58,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#59,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#60,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#61,mf5689,kain,58,12,10.42
mf#rh#11539#R#kain#5689#62,mf5689,kain,58,12,10.42
,
mf#rh#11539#R#mk80#5690#01,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#02,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#03,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#04,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#05,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#06,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#07,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#08,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#09,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#10,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#11,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#12,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#13,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#14,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#15,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#16,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#17,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#18,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#19,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#20,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#21,mf5690,mk80,24.2,5,5.2
