,name,number
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#musc#6422#11#L.TIF,0.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#praz#6742#13#L.TIF,1.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#mk80#6722#12#L.TIF,2.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sch2#6758#16#L.TIF,3.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#praz#6744#22#L.TIF,4.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#pire#9550#11#L.TIF,5.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#flum#6688#15#L.TIF,6.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#ampa#6711#07#L.TIF,7.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sr95#6773#17#L.TIF,8.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#kain#6716#09#L.TIF,9.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#pire#9550#12#L.TIF,10.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sch2#6759#20#L.TIF,11.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#dpat#6783#16#L.TIF,12.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#keta#6752#14#L.TIF,13.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#uk14#6763#18#L.TIF,14.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#mk80#6722#11#L.TIF,15.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#musc#6421#08#L.TIF,16.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#pire#9551#16#L.TIF,17.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#musc#6422#12#L.TIF,18.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#cgp5#6697#14#L.TIF,19.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#mk80#6723#20#L.TIF,20.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#ampa#6714#22#L.TIF,21.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sch2#6759#25#L.TIF,22.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#oxot#6747#14#L.TIF,23.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sr95#6771#10#L.TIF,24.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#musc#6424#15#L.TIF,25.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#epib#6524#08#L.TIF,26.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sr95#6771#07#L.TIF,27.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#dpat#6498#17#L.TIF,28.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#keta#6752#13#L.TIF,29.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#praz#6745#01#L.TIF,30.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#sr95#6770#03#L.TIF,31.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#rx82#9472#15#L.TIF,32.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#pire#9551#13#L.TIF,33.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#oxot#6745#03#L.TIF,34.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#musc#6426#21#L.TIF,35.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#oxot#6746#08#L.TIF,36.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#ly34#6768#19#L.TIF,37.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#cgp5#6699#23#L.TIF,38.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#kain#6719#23#L.TIF,39.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#mk80#6721#09#L.TIF,40.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#rx82#9470#06#L.TIF,41.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#hg#MR2S3#L#kain#6719#21#L.TIF,42.0
0,/data1/users/tfunck/receptor/MR2/img_lin/L_slab_3/QL#HG#MR2S3#L#pire#9553#24#L.TIF,43.0
