Image,cmax_in_file,Ligand,SA,KD,l
ji#hg#0500s4#R#ampa#4481#01,ji4481.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4481#02,ji4481.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4481#03,ji4481.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4482#04,ji4482.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4482#05,ji4482.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4483#06,ji4483.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4483#07,ji4483.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4484#08,ji4484.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4484#09,ji4484.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#ampa#4484#10,ji4484.grt,ampa,40.9,10,11.4
ji#hg#0500s4#R#cgp5#4488#01,ji4488.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4488#02,ji4488.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4488#03,ji4488.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4489#04,ji4489.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4489#05,ji4489.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4490#06,ji4490.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4490#07,ji4490.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4491#08,ji4491.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4491#09,ji4491.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#cgp5#4491#10,ji4491.grt,cgp5,40,1.48,1.46
ji#hg#0500s4#R#damp#4542#01,ji4542.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4542#02,ji4542.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4542#03,ji4542.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4543#04,ji4543.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4543#05,ji4543.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4544#06,ji4544.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4544#07,ji4544.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4545#08,ji4545.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4545#09,ji4545.grt,damp,83,1,1.47
ji#hg#0500s4#R#damp#4545#10,ji4545.grt,damp,83,1,1.47
ji#hg#0500s4#R#dpat#4530#01,ji4530.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4530#02,ji4530.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4530#03,ji4530.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4531#04,ji4531.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4531#05,ji4531.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4532#06,ji4532.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4532#07,ji4532.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4533#08,ji4533.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4533#09,ji4533.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpat#4533#10,ji4533.grt,dpat,135,2,1.2
ji#hg#0500s4#R#dpog#4492#01,ji4492.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#dpog#4492#02,ji4492.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#dpog#4492#03,ji4492.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#dpog#4493#06,ji4493.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#dpog#4493#07,ji4493.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#dpog#4494#08,ji4494.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#dpog#4494#10,ji4494.grt,dpog,111.6,0.5,0.45
ji#hg#0500s4#R#epib#4526#01,ji4526.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4526#02,ji4526.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4526#03,ji4526.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4527#04,ji4527.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4527#05,ji4527.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4528#06,ji4528.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4528#07,ji4528.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4529#08,ji4529.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4529#09,ji4529.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#epib#4529#10,ji4529.grt,epib,48,0.02,0.18
ji#hg#0500s4#R#flum#4477#01,ji4477.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4477#02,ji4477.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4477#03,ji4477.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4478#04,ji4478.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4478#05,ji4478.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4479#06,ji4479.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4479#07,ji4479.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4480#08,ji4480.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4480#09,ji4480.grt,flum,70,2,0.74
ji#hg#0500s4#R#flum#4480#10,ji4480.grt,flum,70,2,0.74
ji#hg#0500s4#R#kain#4485#01,ji4485.grt,kain,58,12,8.7
ji#hg#0500s4#R#kain#4485#02,ji4485.grt,kain,58,12,8.7
ji#hg#0500s4#R#kain#4485#04,ji4485.grt,kain,58,12,8.7
ji#hg#0500s4#R#kain#4486#05,ji4486.grt,kain,58,12,8.7
ji#hg#0500s4#R#kain#4486#06,ji4486.grt,kain,58,12,8.7
ji#hg#0500s4#R#kain#4487#07,ji4487.grt,kain,58,12,8.7
ji#hg#0500s4#R#kain#4487#08,ji4487.grt,kain,58,12,8.7
ji#hg#0500s4#R#keta#4519#01,ji4519.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4519#02,ji4519.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4519#03,ji4519.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4520#04,ji4520.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4520#05,ji4520.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4521#06,ji4521.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4521#07,ji4521.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4522#08,ji4522.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4522#09,ji4522.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#keta#4522#10,ji4522.grt,keta,63.3,0.5,0.53
ji#hg#0500s4#R#mk80#4495#01,ji4495.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4495#02,ji4495.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4495#03,ji4495.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4496#04,ji4496.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4496#05,ji4496.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4497#06,ji4497.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4497#07,ji4497.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4498#08,ji4498.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4498#09,ji4498.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#mk80#4498#10,ji4498.grt,mk80,21.7,5,6.4
ji#hg#0500s4#R#musc#4499#01,ji4499.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4499#02,ji4499.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4499#03,ji4499.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4500#04,ji4500.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4500#05,ji4500.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4501#06,ji4501.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4501#07,ji4501.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4502#08,ji4502.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4502#09,ji4502.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#musc#4502#10,ji4502.grt,musc,28.5,6,6.5
ji#hg#0500s4#R#oxot#4515#01,ji4515.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4515#02,ji4515.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4515#03,ji4515.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4516#04,ji4516.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4516#05,ji4516.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4517#06,ji4517.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4517#07,ji4517.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4518#08,ji4518.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4518#09,ji4518.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#oxot#4518#10,ji4518.grt,oxot,86.4,0.8,0.8
ji#hg#0500s4#R#pire#4503#01,ji4503.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4503#02,ji4503.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4503#03,ji4503.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4504#04,ji4504.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4504#05,ji4504.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4505#06,ji4505.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4505#07,ji4505.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4506#08,ji4506.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4506#09,ji4506.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#pire#4506#10,ji4506.grt,pire,79.3,3,1.1
ji#hg#0500s4#R#praz#4511#01,ji4511.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4511#02,ji4511.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4511#03,ji4511.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4512#04,ji4512.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4512#05,ji4512.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4513#06,ji4513.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4513#07,ji4513.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4514#08,ji4514.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4514#09,ji4514.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#praz#4514#10,ji4514.grt,praz,80,0.2,0.06
ji#hg#0500s4#R#rx82#4538#01,ji4538.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4538#02,ji4538.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4538#03,ji4538.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4539#04,ji4539.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4539#05,ji4539.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4540#06,ji4540.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4540#07,ji4540.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4541#08,ji4541.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4541#09,ji4541.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#rx82#4541#10,ji4541.grt,rx82,67,2.8,6.1
ji#hg#0500s4#R#sch2#4523#01,ji4523.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4523#02,ji4523.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4523#04,ji4523.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4524#06,ji4524.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4524#07,ji4524.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4525#08,ji4525.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4525#09,ji4525.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#sch2#4525#10,ji4525.grt,sch2,75.5,0.14,0.53
ji#hg#0500s4#R#zm24#4507#01,ji4507.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4507#02,ji4507.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4507#03,ji4507.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4508#04,ji4508.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4508#05,ji4508.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4509#06,ji4509.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4509#07,ji4509.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4510#08,ji4510.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4510#09,ji4510.grt,zm24,17,2.04,2.1
ji#hg#0500s4#R#zm24#4510#10,ji4510.grt,zm24,17,2.04,2.1
jv#hg#0500s3#R#ampa#4646#01,jv4646.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4646#02,jv4646.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4646#03,jv4646.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4647#04,jv4647.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4647#05,jv4647.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4648#06,jv4648.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4648#07,jv4648.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4649#08,jv4649.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4649#09,jv4649.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#ampa#4649#10,jv4649.grt,ampa,40.8,10,12.4
jv#hg#0500s3#R#cgp5#4655#01,jv4655.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4655#02,jv4655.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4655#03,jv4655.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4656#04,jv4656.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4656#05,jv4656.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4657#06,jv4657.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4657#07,jv4657.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4658#08,jv4658.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4658#09,jv4658.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#cgp5#4658#10,jv4658.grt,cgp5,40,1.48,1.35
jv#hg#0500s3#R#damp#4710#02,jv4710.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4710#03,jv4710.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4710#04,jv4710.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4711#05,jv4711.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4711#06,jv4711.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4711#07,jv4711.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4712#08,jv4712.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4712#09,jv4712.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#damp#4712#10,jv4712.grt,damp,83,0.2,0.9
jv#hg#0500s3#R#dpat#4698#01,jv4698.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4698#02,jv4698.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4698#03,jv4698.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4699#04,jv4699.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4699#05,jv4699.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4700#06,jv4700.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4700#07,jv4700.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4701#08,jv4701.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4701#09,jv4701.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpat#4701#10,jv4701.grt,dpat,135,2,1.1
jv#hg#0500s3#R#dpog#4659#01,jv4659.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4659#02,jv4659.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4659#03,jv4659.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4661#06,jv4661.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4661#07,jv4661.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4662#08,jv4662.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4662#09,jv4662.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#dpog#4662#10,jv4662.grt,dpog,111.6,0.5,0.52
jv#hg#0500s3#R#epib#4694#01,jv4694.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4694#02,jv4694.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4694#03,jv4694.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4695#04,jv4695.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4695#05,jv4695.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4696#06,jv4696.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4696#07,jv4696.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4697#08,jv4697.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4697#09,jv4697.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#epib#4697#10,jv4697.grt,epib,48,0.02,0.49
jv#hg#0500s3#R#flum#4642#01,jv4642.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4642#02,jv4642.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4642#03,jv4642.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4643#04,jv4643.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4643#05,jv4643.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4644#06,jv4644.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4644#07,jv4644.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4645#08,jv4645.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4645#09,jv4645.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#flum#4645#10,jv4645.grt,flum,70.8,2,0.76
jv#hg#0500s3#R#kain#4650#01,jv4650.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4650#02,jv4650.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4650#03,jv4650.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4651#04,jv4651.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4651#05,jv4651.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4652#06,jv4652.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4652#07,jv4652.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4653#08,jv4653.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4653#09,jv4653.grt,kain,58,12,7.96
jv#hg#0500s3#R#kain#4653#10,jv4653.grt,kain,58,12,7.96
jv#hg#0500s3#R#keta#4686#01,jv4686.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4686#02,jv4686.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4686#03,jv4686.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4687#04,jv4687.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4687#05,jv4687.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4688#06,jv4688.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4688#07,jv4688.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4689#08,jv4689.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4689#09,jv4689.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#keta#4689#10,jv4689.grt,keta,63.3,0.5,0.47
jv#hg#0500s3#R#mk80#4663#01,jv4663.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4663#02,jv4663.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4663#03,jv4663.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4664#04,jv4664.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4664#05,jv4664.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4665#06,jv4665.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4665#07,jv4665.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4666#08,jv4666.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4666#09,jv4666.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#mk80#4666#10,jv4666.grt,mk80,21.7,5,5.6
jv#hg#0500s3#R#musc#4667#01,jv4667.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4667#02,jv4667.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4667#03,jv4667.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4668#04,jv4668.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4668#05,jv4668.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4669#06,jv4669.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4669#07,jv4669.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4670#08,jv4670.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4670#09,jv4670.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#musc#4670#10,jv4670.grt,musc,28.5,6,6.4
jv#hg#0500s3#R#oxot#4682#01,jv4682.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4682#02,jv4682.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4682#03,jv4682.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4683#04,jv4683.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4683#05,jv4683.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4684#06,jv4684.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4684#07,jv4684.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4685#08,jv4685.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4685#09,jv4685.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#oxot#4685#10,jv4685.grt,oxot,86.4,0.8,0.78
jv#hg#0500s3#R#pire#4671#01,jv4671.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4671#02,jv4671.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4671#03,jv4671.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4672#04,jv4672.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4672#05,jv4672.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4673#06,jv4673.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4673#07,jv4673.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4674#08,jv4674.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4674#09,jv4674.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#pire#4674#10,jv4674.grt,pire,79.3,3,1.1
jv#hg#0500s3#R#praz#4678#01,jv4678.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4678#02,jv4678.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4678#03,jv4678.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4679#04,jv4679.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4679#05,jv4679.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4680#06,jv4680.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4680#07,jv4680.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4681#08,jv4681.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4681#09,jv4681.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#praz#4681#10,jv4681.grt,praz,80,0.2,0.2
jv#hg#0500s3#R#racl#4702#01,jv4702.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4702#02,jv4702.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4702#03,jv4702.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4703#04,jv4703.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4703#05,jv4703.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4704#06,jv4704.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4704#07,jv4704.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4705#08,jv4705.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4705#09,jv4705.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#racl#4705#10,jv4705.grt,racl,78.4,0.2,0.32
jv#hg#0500s3#R#rx82#4706#01,jv4706.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4706#02,jv4706.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4706#03,jv4706.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4707#04,jv4707.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4707#05,jv4707.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4708#06,jv4708.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4708#07,jv4708.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4709#08,jv4709.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4709#09,jv4709.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#rx82#4709#10,jv4709.grt,rx82,67,2.8,6.3
jv#hg#0500s3#R#sch2#4690#01,jv4690.grt,sch2,75.5,0.14,0.54
jv#hg#0500s3#R#sch2#4690#02,jv4690.grt,sch2,75.5,0.14,0.54
jv#hg#0500s3#R#sch2#4690#03,jv4690.grt,sch2,75.5,0.14,0.54
jv#hg#0500s3#R#sch2#4691#04,jv4691.grt,sch2,75.5,0.14,0.54
