image,ligand,sa,kd,l
mo#rh#11543#L#racl#5748#01,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#02,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#03,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#04,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#05,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#06,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#07,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#08,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#09,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#10,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#11,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#12,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#13,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#14,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#15,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#16,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#17,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#18,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#19,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#20,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#21,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#22,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#23,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#24,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#25,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#26,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#27,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#28,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#29,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#30,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#31,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#32,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5748#33,mo5748,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#34,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#35,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#36,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#37,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#38,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#39,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#40,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#41,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#42,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#43,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#44,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#45,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#46,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#47,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#48,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#49,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#50,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#51,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#52,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#53,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#54,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#55,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#56,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#57,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#58,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#59,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#60,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#racl#5749#61,mo5749,racl,80,0.2,0.34
mo#rh#11543#L#sch2#5740#01,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#02,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#03,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#04,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#05,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#06,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#07,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#08,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#09,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#10,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#11,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#12,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#13,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#14,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#15,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#16,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#17,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#18,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#19,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#20,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#21,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#22,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#23,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#24,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#25,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#26,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#27,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#28,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#29,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#30,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#31,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#32,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5740#33,mo5740,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#34,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#35,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#36,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#37,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#38,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#39,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#40,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#41,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#42,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#43,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#44,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#45,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#46,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#47,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#48,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#49,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#50,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#51,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#52,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#53,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#54,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#55,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#56,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#57,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#58,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#59,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#60,mo5741,sch2,86,0.14,1
mo#rh#11543#L#sch2#5741#61,mo5741,sch2,86,0.14,1
mo#rh#11543#L#uk14#5742#01,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#02,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#03,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#04,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#05,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#06,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#07,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#08,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#09,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#10,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#11,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#12,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#13,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#14,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#15,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#16,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#17,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#18,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#19,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#20,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#21,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#22,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#23,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#24,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#25,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#26,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#27,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#28,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#29,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#30,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#31,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#32,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5742#33,mo5742,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#34,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#35,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#36,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#37,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#38,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#39,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#40,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#41,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#42,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#43,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#44,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#45,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#46,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#47,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#48,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#49,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#50,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#51,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#52,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#53,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#54,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#55,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#56,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#57,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#58,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#59,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#60,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#uk14#5743#61,mo5743,uk14,81.2,1.4,0.76
mo#rh#11543#L#zm24#5732#03,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#04,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#05,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#06,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#07,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#08,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#09,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#10,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#11,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#12,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#13,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#14,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#15,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#16,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#17,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#18,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#19,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#20,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#21,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#22,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#23,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#24,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#25,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#26,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#27,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#28,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#29,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#30,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#31,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#32,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#33,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5732#34,mo5732,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#35,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#36,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#37,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#38,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#39,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#40,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#41,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#42,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#43,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#44,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#45,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#46,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#47,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#48,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#49,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#50,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#51,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#52,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#53,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#54,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#55,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#57,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#58,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#59,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#60,mo5733,zm24,23.47,2.04,1.92
mo#rh#11543#L#zm24#5733#61,mo5733,zm24,23.47,2.04,1.92
