,fn,slab_order,mri,slab,hemisphere,ligand,sheet,repeat,global_order
0,RD#HG#MR1s3#R#ampa#5751#01,1,MR1,3,R,ampa,5751,01,2647
1,RD#HG#MR1s3#R#kain#5755#01,2,MR1,3,R,kain,5755,01,2648
2,RD#HG#MR1s3#R#mk80#5759#01,3,MR1,3,R,mk80,5759,01,2649
3,RD#HG#MR1s3#R#musc#5763#01,4,MR1,3,R,musc,5763,01,2650
4,RD#HG#MR1s3#R#cgp5#5819#01,5,MR1,3,R,cgp5,5819,01,2651
5,RD#HG#MR1s3#R#flum#5823#01,6,MR1,3,R,flum,5823,01,2652
8,RD#HG#MR1s3#R#oxot#5771#01,9,MR1,3,R,oxot,5771,01,2655
9,RD#HG#MR1s3#R#damp#5827#01,10,MR1,3,R,damp,5827,01,2656
11,RD#HG#MR1s3#R#epib#5799#01,12,MR1,3,R,epib,5799,01,2658
12,RD#HG#MR1s3#R#praz#5783#01,13,MR1,3,R,praz,5783,01,2659
13,RD#HG#MR1s3#R#uk14#5787#01,14,MR1,3,R,uk14,5787,01,2660
15,RD#HG#MR1s3#R#dpat#5775#01,16,MR1,3,R,dpat,5775,01,2662
16,RD#HG#MR1s3#R#sr95#5839#01,17,MR1,3,R,sr95,5839,01,2663
19,RD#HG#MR1s3#R#sch2#5795#01,20,MR1,3,R,sch2,5795,01,2666
20,RD#HG#MR1s3#R#rx82#5791#01,21,MR1,3,R,rx82,5791,01,2667
22,RD#HG#MR1s3#R#afdx#5831#01,23,MR1,3,R,afdx,5831,01,2669
23,RD#HG#MR1s3#R#dpog#5811#01,24,MR1,3,R,dpog,5811,01,2670
26,RD#HG#MR1s3#R#dpmg#5815#01,27,MR1,3,R,dpmg,5815,01,2673
29,RD#HG#MR1s3#R#ly34#5835#01,30,MR1,3,R,ly34,5835,01,2676
30,RD#HG#MR1s3#R#cpog#5803#01,31,MR1,3,R,cpog,5803,01,2677
35,RD#HG#MR1s3#R#cpmg#5807#01,36,MR1,3,R,cpmg,5807,01,2682
36,RD#HG#MR1s3#R#keta#5779#01,37,MR1,3,R,keta,5779,01,2683
40,RD#HG#MR1S3#R#pire#9518#01,41,MR1,3,R,pire,9518,01,2687
49,RD#HG#MR1s3#R#ampa#5751#02,50,MR1,3,R,ampa,5751,02,2696
50,RD#HG#MR1s3#R#kain#5755#02,51,MR1,3,R,kain,5755,02,2697
51,RD#HG#MR1s3#R#mk80#5759#02,52,MR1,3,R,mk80,5759,02,2698
52,RD#HG#MR1s3#R#musc#5763#02,53,MR1,3,R,musc,5763,02,2699
53,RD#HG#MR1s3#R#cgp5#5819#02,54,MR1,3,R,cgp5,5819,02,2700
54,RD#HG#MR1s3#R#flum#5823#02,55,MR1,3,R,flum,5823,02,2701
57,RD#HG#MR1s3#R#oxot#5771#02,58,MR1,3,R,oxot,5771,02,2704
58,RD#HG#MR1s3#R#damp#5827#02,59,MR1,3,R,damp,5827,02,2705
60,RD#HG#MR1s3#R#epib#5799#02,61,MR1,3,R,epib,5799,02,2707
61,RD#HG#MR1s3#R#praz#5783#02,62,MR1,3,R,praz,5783,02,2708
62,RD#HG#MR1s3#R#uk14#5787#02,63,MR1,3,R,uk14,5787,02,2709
64,RD#HG#MR1s3#R#dpat#5775#02,65,MR1,3,R,dpat,5775,02,2711
65,RD#HG#MR1s3#R#sr95#5839#02,66,MR1,3,R,sr95,5839,02,2712
67,RD#HG#MR1s3#R#sch2#5795#02,68,MR1,3,R,sch2,5795,02,2714
68,RD#HG#MR1s3#R#rx82#5791#02,69,MR1,3,R,rx82,5791,02,2715
69,RD#HG#MR1s3#R#afdx#5831#02,70,MR1,3,R,afdx,5831,02,2716
70,RD#HG#MR1s3#R#dpog#5811#02,71,MR1,3,R,dpog,5811,02,2717
74,RD#HG#MR1s3#R#dpmg#5815#02,75,MR1,3,R,dpmg,5815,02,2721
76,RD#HG#MR1s3#R#ly34#5835#02,77,MR1,3,R,ly34,5835,02,2723
78,RD#HG#MR1s3#R#cpog#5803#02,79,MR1,3,R,cpog,5803,02,2725
79,RD#HG#MR1s3#R#cpmg#5807#02,80,MR1,3,R,cpmg,5807,02,2726
80,RD#HG#MR1s3#R#keta#5779#02,81,MR1,3,R,keta,5779,02,2727
83,RD#HG#MR1S3#R#pire#9518#02,84,MR1,3,R,pire,9518,02,2730
92,RD#HG#MR1s3#R#ampa#5751#03,93,MR1,3,R,ampa,5751,03,2739
93,RD#HG#MR1s3#R#kain#5755#03,94,MR1,3,R,kain,5755,03,2740
94,RD#HG#MR1s3#R#mk80#5759#03,95,MR1,3,R,mk80,5759,03,2741
96,RD#HG#MR1s3#R#musc#5763#03,97,MR1,3,R,musc,5763,03,2743
98,RD#HG#MR1s3#R#cgp5#5819#03,99,MR1,3,R,cgp5,5819,03,2745
101,RD#HG#MR1s3#R#flum#5823#03,102,MR1,3,R,flum,5823,03,2748
104,RD#HG#MR1s3#R#oxot#5771#03,105,MR1,3,R,oxot,5771,03,2751
105,RD#HG#MR1s3#R#damp#5827#03,106,MR1,3,R,damp,5827,03,2752
108,RD#HG#MR1s3#R#epib#5799#03,109,MR1,3,R,epib,5799,03,2755
109,RD#HG#MR1s3#R#praz#5783#03,110,MR1,3,R,praz,5783,03,2756
110,RD#HG#MR1s3#R#uk14#5787#03,111,MR1,3,R,uk14,5787,03,2757
112,RD#HG#MR1s3#R#dpat#5775#03,113,MR1,3,R,dpat,5775,03,2759
113,RD#HG#MR1s3#R#sr95#5839#03,114,MR1,3,R,sr95,5839,03,2760
115,RD#HG#MR1s3#R#sch2#5795#03,116,MR1,3,R,sch2,5795,03,2762
116,RD#HG#MR1s3#R#rx82#5791#03,117,MR1,3,R,rx82,5791,03,2763
117,RD#HG#MR1s3#R#afdx#5831#03,118,MR1,3,R,afdx,5831,03,2764
119,RD#HG#MR1s3#R#dpog#5811#03,120,MR1,3,R,dpog,5811,03,2766
122,RD#HG#MR1s3#R#dpmg#5815#03,123,MR1,3,R,dpmg,5815,03,2769
126,RD#HG#MR1s3#R#ly34#5835#03,127,MR1,3,R,ly34,5835,03,2773
127,RD#HG#MR1s3#R#cpog#5803#03,128,MR1,3,R,cpog,5803,03,2774
128,RD#HG#MR1s3#R#cpmg#5807#03,129,MR1,3,R,cpmg,5807,03,2775
129,RD#HG#MR1s3#R#keta#5779#03,130,MR1,3,R,keta,5779,03,2776
132,RD#HG#MR1S3#R#pire#9518#03,133,MR1,3,R,pire,9518,03,2779
140,RD#HG#MR1s3#R#ampa#5751#04,141,MR1,3,R,ampa,5751,04,2787
141,RD#HG#MR1s3#R#kain#5755#04,142,MR1,3,R,kain,5755,04,2788
142,RD#HG#MR1s3#R#mk80#5759#04,143,MR1,3,R,mk80,5759,04,2789
143,RD#HG#MR1s3#R#musc#5763#04,144,MR1,3,R,musc,5763,04,2790
144,RD#HG#MR1s3#R#cgp5#5819#04,145,MR1,3,R,cgp5,5819,04,2791
145,RD#HG#MR1s3#R#flum#5823#04,146,MR1,3,R,flum,5823,04,2792
148,RD#HG#MR1s3#R#oxot#5771#04,149,MR1,3,R,oxot,5771,04,2795
149,RD#HG#MR1s3#R#damp#5827#04,150,MR1,3,R,damp,5827,04,2796
151,RD#HG#MR1s3#R#epib#5799#04,152,MR1,3,R,epib,5799,04,2798
152,RD#HG#MR1s3#R#praz#5783#04,153,MR1,3,R,praz,5783,04,2799
153,RD#HG#MR1s3#R#uk14#5787#04,154,MR1,3,R,uk14,5787,04,2800
155,RD#HG#MR1s3#R#dpat#5775#04,156,MR1,3,R,dpat,5775,04,2802
156,RD#HG#MR1s3#R#sr95#5839#04,157,MR1,3,R,sr95,5839,04,2803
158,RD#HG#MR1s3#R#sch2#5795#04,159,MR1,3,R,sch2,5795,04,2805
159,RD#HG#MR1s3#R#rx82#5791#04,160,MR1,3,R,rx82,5791,04,2806
160,RD#HG#MR1s3#R#afdx#5831#04,161,MR1,3,R,afdx,5831,04,2807
161,RD#HG#MR1s3#R#dpog#5811#04,162,MR1,3,R,dpog,5811,04,2808
164,RD#HG#MR1s3#R#dpmg#5815#04,165,MR1,3,R,dpmg,5815,04,2811
167,RD#HG#MR1s3#R#ly34#5835#04,168,MR1,3,R,ly34,5835,04,2814
168,RD#HG#MR1s3#R#cpog#5803#04,169,MR1,3,R,cpog,5803,04,2815
169,RD#HG#MR1s3#R#cpmg#5807#04,170,MR1,3,R,cpmg,5807,04,2816
170,RD#HG#MR1s3#R#keta#5779#04,171,MR1,3,R,keta,5779,04,2817
173,RD#HG#MR1S3#R#pire#9518#04,174,MR1,3,R,pire,9518,04,2820
184,RD#HG#MR1s3#R#ampa#5751#05,185,MR1,3,R,ampa,5751,05,2831
185,RD#HG#MR1s3#R#kain#5755#05,186,MR1,3,R,kain,5755,05,2832
186,RD#HG#MR1s3#R#mk80#5759#05,187,MR1,3,R,mk80,5759,05,2833
188,RD#HG#MR1s3#R#musc#5763#05,189,MR1,3,R,musc,5763,05,2835
189,RD#HG#MR1s3#R#cgp5#5819#05,190,MR1,3,R,cgp5,5819,05,2836
190,RD#HG#MR1s3#R#flum#5823#05,191,MR1,3,R,flum,5823,05,2837
194,RD#HG#MR1s3#R#oxot#5771#05,195,MR1,3,R,oxot,5771,05,2841
195,RD#HG#MR1s3#R#damp#5827#05,196,MR1,3,R,damp,5827,05,2842
197,RD#HG#MR1s3#R#epib#5799#05,198,MR1,3,R,epib,5799,05,2844
198,RD#HG#MR1s3#R#praz#5783#05,199,MR1,3,R,praz,5783,05,2845
199,RD#HG#MR1s3#R#uk14#5787#05,200,MR1,3,R,uk14,5787,05,2846
201,RD#HG#MR1s3#R#dpat#5775#05,202,MR1,3,R,dpat,5775,05,2848
202,RD#HG#MR1s3#R#sr95#5839#05,203,MR1,3,R,sr95,5839,05,2849
204,RD#HG#MR1s3#R#sch2#5795#05,205,MR1,3,R,sch2,5795,05,2851
205,RD#HG#MR1s3#R#rx82#5791#05,206,MR1,3,R,rx82,5791,05,2852
206,RD#HG#MR1s3#R#afdx#5831#05,207,MR1,3,R,afdx,5831,05,2853
207,RD#HG#MR1s3#R#dpog#5811#05,208,MR1,3,R,dpog,5811,05,2854
209,RD#HG#MR1s3#R#dpmg#5815#05,210,MR1,3,R,dpmg,5815,05,2856
211,RD#HG#MR1s3#R#ly34#5835#05,212,MR1,3,R,ly34,5835,05,2858
212,RD#HG#MR1s3#R#cpog#5803#05,213,MR1,3,R,cpog,5803,05,2859
213,RD#HG#MR1s3#R#cpmg#5807#05,214,MR1,3,R,cpmg,5807,05,2860
214,RD#HG#MR1S3#R#pire#9518#05,215,MR1,3,R,pire,9518,05,2861
215,RD#HG#MR1s3#R#keta#5779#05,216,MR1,3,R,keta,5779,05,2862
226,RD#HG#MR1s3#R#ampa#5751#06,227,MR1,3,R,ampa,5751,06,2873
227,RD#HG#MR1s3#R#kain#5755#06,228,MR1,3,R,kain,5755,06,2874
230,RD#HG#MR1s3#R#mk80#5759#06,231,MR1,3,R,mk80,5759,06,2877
231,RD#HG#MR1s3#R#musc#5763#06,232,MR1,3,R,musc,5763,06,2878
234,RD#HG#MR1s3#R#cgp5#5819#06,235,MR1,3,R,cgp5,5819,06,2881
235,RD#HG#MR1s3#R#flum#5823#06,236,MR1,3,R,flum,5823,06,2882
238,RD#HG#MR1s3#R#oxot#5771#06,239,MR1,3,R,oxot,5771,06,2885
241,RD#HG#MR1s3#R#damp#5827#06,242,MR1,3,R,damp,5827,06,2888
243,RD#HG#MR1s3#R#epib#5799#06,244,MR1,3,R,epib,5799,06,2890
244,RD#HG#MR1s3#R#praz#5783#06,245,MR1,3,R,praz,5783,06,2891
245,RD#HG#MR1s3#R#uk14#5787#06,246,MR1,3,R,uk14,5787,06,2892
248,RD#HG#MR1s3#R#dpat#5775#06,249,MR1,3,R,dpat,5775,06,2895
249,RD#HG#MR1s3#R#sr95#5839#06,250,MR1,3,R,sr95,5839,06,2896
251,RD#HG#MR1s3#R#sch2#5795#06,252,MR1,3,R,sch2,5795,06,2898
252,RD#HG#MR1s3#R#rx82#5791#06,253,MR1,3,R,rx82,5791,06,2899
253,RD#HG#MR1s3#R#afdx#5831#06,254,MR1,3,R,afdx,5831,06,2900
255,RD#HG#MR1s3#R#dpog#5811#06,256,MR1,3,R,dpog,5811,06,2902
257,RD#HG#MR1s3#R#dpmg#5815#06,258,MR1,3,R,dpmg,5815,06,2904
259,RD#HG#MR1s3#R#ly34#5835#06,260,MR1,3,R,ly34,5835,06,2906
260,RD#HG#MR1s3#R#cpog#5803#06,261,MR1,3,R,cpog,5803,06,2907
261,RD#HG#MR1s3#R#cpmg#5807#06,262,MR1,3,R,cpmg,5807,06,2908
262,RD#HG#MR1s3#R#keta#5779#06,263,MR1,3,R,keta,5779,06,2909
265,RD#HG#MR1S3#R#pire#9519#06,266,MR1,3,R,pire,9519,06,2912
273,RD#HG#MR1s3#R#ampa#5751#07,274,MR1,3,R,ampa,5751,07,2920
277,RD#HG#MR1s3#R#kain#5755#07,278,MR1,3,R,kain,5755,07,2924
278,RD#HG#MR1s3#R#mk80#5759#07,279,MR1,3,R,mk80,5759,07,2925
279,RD#HG#MR1s3#R#musc#5763#07,280,MR1,3,R,musc,5763,07,2926
280,RD#HG#MR1s3#R#cgp5#5819#07,281,MR1,3,R,cgp5,5819,07,2927
281,RD#HG#MR1s3#R#flum#5823#07,282,MR1,3,R,flum,5823,07,2928
284,RD#HG#MR1s3#R#oxot#5771#07,285,MR1,3,R,oxot,5771,07,2931
285,RD#HG#MR1s3#R#damp#5827#07,286,MR1,3,R,damp,5827,07,2932
288,RD#HG#MR1s3#R#epib#5799#07,289,MR1,3,R,epib,5799,07,2935
289,RD#HG#MR1s3#R#praz#5783#07,290,MR1,3,R,praz,5783,07,2936
290,RD#HG#MR1s3#R#uk14#5787#07,291,MR1,3,R,uk14,5787,07,2937
293,RD#HG#MR1s3#R#dpat#5775#07,294,MR1,3,R,dpat,5775,07,2940
294,RD#HG#MR1s3#R#sr95#5839#07,295,MR1,3,R,sr95,5839,07,2941
296,RD#HG#MR1s3#R#sch2#5795#07,297,MR1,3,R,sch2,5795,07,2943
297,RD#HG#MR1s3#R#rx82#5791#07,298,MR1,3,R,rx82,5791,07,2944
298,RD#HG#MR1s3#R#afdx#5831#07,299,MR1,3,R,afdx,5831,07,2945
299,RD#HG#MR1s3#R#dpog#5811#07,300,MR1,3,R,dpog,5811,07,2946
301,RD#HG#MR1s3#R#dpmg#5815#07,302,MR1,3,R,dpmg,5815,07,2948
303,RD#HG#MR1s3#R#ly34#5835#07,304,MR1,3,R,ly34,5835,07,2950
304,RD#HG#MR1s3#R#cpog#5803#07,305,MR1,3,R,cpog,5803,07,2951
305,RD#HG#MR1s3#R#cpmg#5807#07,306,MR1,3,R,cpmg,5807,07,2952
306,RD#HG#MR1s3#R#keta#5779#07,307,MR1,3,R,keta,5779,07,2953
318,RD#HG#MR1s3#R#ampa#5752#08,319,MR1,3,R,ampa,5752,08,2965
319,RD#HG#MR1s3#R#kain#5756#08,320,MR1,3,R,kain,5756,08,2966
320,RD#HG#MR1s3#R#mk80#5760#08,321,MR1,3,R,mk80,5760,08,2967
321,RD#HG#MR1s3#R#musc#5764#08,322,MR1,3,R,musc,5764,08,2968
322,RD#HG#MR1s3#R#cgp5#5820#08,323,MR1,3,R,cgp5,5820,08,2969
323,RD#HG#MR1s3#R#flum#5824#08,324,MR1,3,R,flum,5824,08,2970
326,RD#HG#MR1s3#R#oxot#5772#08,327,MR1,3,R,oxot,5772,08,2973
327,RD#HG#MR1s3#R#damp#5828#08,328,MR1,3,R,damp,5828,08,2974
329,RD#HG#MR1s3#R#epib#5800#08,330,MR1,3,R,epib,5800,08,2976
330,RD#HG#MR1s3#R#praz#5784#08,331,MR1,3,R,praz,5784,08,2977
331,RD#HG#MR1s3#R#uk14#5788#08,332,MR1,3,R,uk14,5788,08,2978
333,RD#HG#MR1s3#R#dpat#5776#08,334,MR1,3,R,dpat,5776,08,2980
334,RD#HG#MR1s3#R#sr95#5840#08,335,MR1,3,R,sr95,5840,08,2981
336,RD#HG#MR1s3#R#sch2#5796#08,337,MR1,3,R,sch2,5796,08,2983
337,RD#HG#MR1s3#R#rx82#5792#08,338,MR1,3,R,rx82,5792,08,2984
338,RD#HG#MR1s3#R#afdx#5832#08,339,MR1,3,R,afdx,5832,08,2985
339,RD#HG#MR1s3#R#dpog#5812#08,340,MR1,3,R,dpog,5812,08,2986
343,RD#HG#MR1S3#R#dpmg#5816#08,344,MR1,3,R,dpmg,5816,08,2990
345,RD#HG#MR1s3#R#ly34#5836#08,346,MR1,3,R,ly34,5836,08,2992
346,RD#HG#MR1s3#R#cpog#5804#08,347,MR1,3,R,cpog,5804,08,2993
347,RD#HG#MR1s3#R#cpmg#5808#08,348,MR1,3,R,cpmg,5808,08,2994
348,RD#HG#MR1s3#R#keta#5780#08,349,MR1,3,R,keta,5780,08,2995
351,RD#HG#MR1S3#R#pire#9519#08,352,MR1,3,R,pire,9519,08,2998
363,RD#HG#MR1s3#R#ampa#5752#09,364,MR1,3,R,ampa,5752,09,3010
365,RD#HG#MR1s3#R#kain#5756#09,366,MR1,3,R,kain,5756,09,3012
366,RD#HG#MR1s3#R#mk80#5760#09,367,MR1,3,R,mk80,5760,09,3013
367,RD#HG#MR1s3#R#musc#5764#09,368,MR1,3,R,musc,5764,09,3014
368,RD#HG#MR1s3#R#cgp5#5820#09,369,MR1,3,R,cgp5,5820,09,3015
369,RD#HG#MR1s3#R#flum#5824#09,370,MR1,3,R,flum,5824,09,3016
372,RD#HG#MR1s3#R#oxot#5772#09,373,MR1,3,R,oxot,5772,09,3019
373,RD#HG#MR1s3#R#damp#5828#09,374,MR1,3,R,damp,5828,09,3020
375,RD#HG#MR1s3#R#epib#5800#09,376,MR1,3,R,epib,5800,09,3022
376,RD#HG#MR1s3#R#praz#5784#09,377,MR1,3,R,praz,5784,09,3023
377,RD#HG#MR1s3#R#uk14#5788#09,378,MR1,3,R,uk14,5788,09,3024
379,RD#HG#MR1s3#R#dpat#5776#09,380,MR1,3,R,dpat,5776,09,3026
380,RD#HG#MR1s3#R#sr95#5840#09,381,MR1,3,R,sr95,5840,09,3027
382,RD#HG#MR1s3#R#sch2#5796#09,383,MR1,3,R,sch2,5796,09,3029
383,RD#HG#MR1s3#R#rx82#5792#09,384,MR1,3,R,rx82,5792,09,3030
384,RD#HG#MR1s3#R#afdx#5832#09,385,MR1,3,R,afdx,5832,09,3031
385,RD#HG#MR1s3#R#dpog#5812#09,386,MR1,3,R,dpog,5812,09,3032
387,RD#HG#MR1S3#R#dpmg#5816#09,388,MR1,3,R,dpmg,5816,09,3034
389,RD#HG#MR1s3#R#ly34#5836#09,390,MR1,3,R,ly34,5836,09,3036
390,RD#HG#MR1s3#R#cpog#5804#09,391,MR1,3,R,cpog,5804,09,3037
391,RD#HG#MR1s3#R#cpmg#5808#09,392,MR1,3,R,cpmg,5808,09,3038
392,RD#HG#MR1s3#R#keta#5780#09,393,MR1,3,R,keta,5780,09,3039
410,RD#HG#MR1s3#R#ampa#5752#10,411,MR1,3,R,ampa,5752,10,3057
412,RD#HG#MR1s3#R#kain#5756#10,413,MR1,3,R,kain,5756,10,3059
414,RD#HG#MR1s3#R#mk80#5760#10,415,MR1,3,R,mk80,5760,10,3061
416,RD#HG#MR1s3#R#musc#5764#10,417,MR1,3,R,musc,5764,10,3063
418,RD#HG#MR1s3#R#cgp5#5820#10,419,MR1,3,R,cgp5,5820,10,3065
420,RD#HG#MR1s3#R#flum#5824#10,421,MR1,3,R,flum,5824,10,3067
426,RD#HG#MR1s3#R#oxot#5772#10,427,MR1,3,R,oxot,5772,10,3073
428,RD#HG#MR1s3#R#damp#5828#10,429,MR1,3,R,damp,5828,10,3075
431,RD#HG#MR1s3#R#epib#5800#10,432,MR1,3,R,epib,5800,10,3078
433,RD#HG#MR1s3#R#praz#5784#10,434,MR1,3,R,praz,5784,10,3080
435,RD#HG#MR1s3#R#uk14#5788#10,436,MR1,3,R,uk14,5788,10,3082
438,RD#HG#MR1s3#R#dpat#5776#10,439,MR1,3,R,dpat,5776,10,3085
440,RD#HG#MR1s3#R#sr95#5840#10,441,MR1,3,R,sr95,5840,10,3087
443,RD#HG#MR1s3#R#sch2#5796#10,444,MR1,3,R,sch2,5796,10,3090
444,RD#HG#MR1s3#R#sch2#5796#UB,445,MR1,3,R,sch2,5796,UB,3091
445,RD#HG#MR1s3#R#rx82#5792#10,446,MR1,3,R,rx82,5792,10,3092
447,RD#HG#MR1s3#R#afdx#5832#10,448,MR1,3,R,afdx,5832,10,3094
449,RD#HG#MR1s3#R#dpog#5812#10,450,MR1,3,R,dpog,5812,10,3096
452,RD#HG#MR1S3#R#dpmg#5816#10,453,MR1,3,R,dpmg,5816,10,3099
453,RD#HG#MR1S3#R#dpmg#5816#UB,454,MR1,3,R,dpmg,5816,UB,3100
454,RD#HG#MR1s3#R#ly34#5836#10,455,MR1,3,R,ly34,5836,10,3101
457,RD#HG#MR1s3#R#cpog#5804#10,458,MR1,3,R,cpog,5804,10,3104
458,RD#HG#MR1s3#R#cpog#5804#UB,459,MR1,3,R,cpog,5804,UB,3105
459,RD#HG#MR1s3#R#cpmg#5808#10,460,MR1,3,R,cpmg,5808,10,3106
461,RD#HG#MR1s3#R#keta#5780#10,462,MR1,3,R,keta,5780,10,3108
462,RD#HG#MR1s3#R#keta#5780#UB,463,MR1,3,R,keta,5780,UB,3109
468,RD#HG#MR1S3#R#pire#9519#10,469,MR1,3,R,pire,9519,10,3115
469,RD#HG#MR1S3#R#pire#9519#UB,470,MR1,3,R,pire,9519,UB,3116
485,RD#HG#MR1s3#R#ampa#5752#11,486,MR1,3,R,ampa,5752,11,3132
486,RD#HG#MR1s3#R#kain#5756#11,487,MR1,3,R,kain,5756,11,3133
487,RD#HG#MR1s3#R#mk80#5760#11,488,MR1,3,R,mk80,5760,11,3134
488,RD#HG#MR1s3#R#musc#5764#11,489,MR1,3,R,musc,5764,11,3135
489,RD#HG#MR1s3#R#cgp5#5820#11,490,MR1,3,R,cgp5,5820,11,3136
490,RD#HG#MR1s3#R#flum#5824#11,491,MR1,3,R,flum,5824,11,3137
493,RD#HG#MR1s3#R#oxot#5772#11,494,MR1,3,R,oxot,5772,11,3140
495,RD#HG#MR1s3#R#damp#5828#11,496,MR1,3,R,damp,5828,11,3142
497,RD#HG#MR1s3#R#epib#5800#11,498,MR1,3,R,epib,5800,11,3144
498,RD#HG#MR1s3#R#praz#5784#11,499,MR1,3,R,praz,5784,11,3145
499,RD#HG#MR1s3#R#uk14#5788#11,500,MR1,3,R,uk14,5788,11,3146
501,RD#HG#MR1s3#R#dpat#5776#11,502,MR1,3,R,dpat,5776,11,3148
504,RD#HG#MR1s3#R#sr95#5840#11,505,MR1,3,R,sr95,5840,11,3151
506,RD#HG#MR1s3#R#sch2#5796#11,507,MR1,3,R,sch2,5796,11,3153
507,RD#HG#MR1s3#R#rx82#5792#11,508,MR1,3,R,rx82,5792,11,3154
508,RD#HG#MR1s3#R#afdx#5832#11,509,MR1,3,R,afdx,5832,11,3155
509,RD#HG#MR1s3#R#dpog#5812#11,510,MR1,3,R,dpog,5812,11,3156
511,RD#HG#MR1S3#R#dpmg#5816#11,512,MR1,3,R,dpmg,5816,11,3158
513,RD#HG#MR1s3#R#ly34#5836#11,514,MR1,3,R,ly34,5836,11,3160
514,RD#HG#MR1s3#R#cpog#5804#11,515,MR1,3,R,cpog,5804,11,3161
515,RD#HG#MR1s3#R#cpmg#5808#11,516,MR1,3,R,cpmg,5808,11,3162
516,RD#HG#MR1s3#R#keta#5780#11,517,MR1,3,R,keta,5780,11,3163
519,RD#HG#MR1S3#R#pire#9520#11,520,MR1,3,R,pire,9520,11,3166
529,RD#HG#MR1s3#R#ampa#5753#12,530,MR1,3,R,ampa,5753,12,3176
530,RD#HG#MR1s3#R#kain#5757#12,531,MR1,3,R,kain,5757,12,3177
531,RD#HG#MR1s3#R#mk80#5761#12,532,MR1,3,R,mk80,5761,12,3178
533,RD#HG#MR1s3#R#musc#5765#12,534,MR1,3,R,musc,5765,12,3180
534,RD#HG#MR1s3#R#cgp5#5821#12,535,MR1,3,R,cgp5,5821,12,3181
535,RD#HG#MR1s3#R#flum#5825#12,536,MR1,3,R,flum,5825,12,3182
540,RD#HG#MR1s3#R#oxot#5773#12,541,MR1,3,R,oxot,5773,12,3187
543,RD#HG#MR1s3#R#epib#5801#12,544,MR1,3,R,epib,5801,12,3190
544,RD#HG#MR1s3#R#praz#5785#12,545,MR1,3,R,praz,5785,12,3191
545,RD#HG#MR1s3#R#uk14#5789#12,546,MR1,3,R,uk14,5789,12,3192
547,RD#HG#MR1s3#R#dpat#5777#12,548,MR1,3,R,dpat,5777,12,3194
548,RD#HG#MR1S3#R#damp#5829#12,549,MR1,3,R,damp,5829,12,3195
549,RD#HG#MR1s3#R#sr95#5841#12,550,MR1,3,R,sr95,5841,12,3196
550,RD#HG#MR1s3#R#sch2#5797#12,551,MR1,3,R,sch2,5797,12,3197
551,RD#HG#MR1s3#R#rx82#5793#12,552,MR1,3,R,rx82,5793,12,3198
552,RD#HG#MR1s3#R#afdx#5833#12,553,MR1,3,R,afdx,5833,12,3199
554,RD#HG#MR1s3#R#dpog#5813#12,555,MR1,3,R,dpog,5813,12,3201
556,RD#HG#MR1S3#R#dpmg#5817#12,557,MR1,3,R,dpmg,5817,12,3203
558,RD#HG#MR1s3#R#ly34#5837#12,559,MR1,3,R,ly34,5837,12,3205
559,RD#HG#MR1s3#R#cpog#5805#12,560,MR1,3,R,cpog,5805,12,3206
560,RD#HG#MR1s3#R#cpmg#5809#12,561,MR1,3,R,cpmg,5809,12,3207
561,RD#HG#MR1s3#R#keta#5781#12,562,MR1,3,R,keta,5781,12,3208
564,RD#HG#MR1S3#R#pire#9520#12,565,MR1,3,R,pire,9520,12,3211
572,RD#HG#MR1s3#R#ampa#5753#13,573,MR1,3,R,ampa,5753,13,3219
573,RD#HG#MR1s3#R#kain#5757#13,574,MR1,3,R,kain,5757,13,3220
574,RD#HG#MR1s3#R#mk80#5761#13,575,MR1,3,R,mk80,5761,13,3221
575,RD#HG#MR1s3#R#musc#5765#13,576,MR1,3,R,musc,5765,13,3222
576,RD#HG#MR1s3#R#cgp5#5821#13,577,MR1,3,R,cgp5,5821,13,3223
577,RD#HG#MR1s3#R#flum#5825#13,578,MR1,3,R,flum,5825,13,3224
580,RD#HG#MR1s3#R#oxot#5773#13,581,MR1,3,R,oxot,5773,13,3227
581,RD#HG#MR1S3#R#damp#5829#13,582,MR1,3,R,damp,5829,13,3228
583,RD#HG#MR1s3#R#epib#5801#13,584,MR1,3,R,epib,5801,13,3230
584,RD#HG#MR1s3#R#praz#5785#13,585,MR1,3,R,praz,5785,13,3231
585,RD#HG#MR1s3#R#uk14#5789#13,586,MR1,3,R,uk14,5789,13,3232
590,RD#HG#MR1s3#R#dpat#5777#13,591,MR1,3,R,dpat,5777,13,3237
591,RD#HG#MR1s3#R#sr95#5841#13,592,MR1,3,R,sr95,5841,13,3238
593,RD#HG#MR1s3#R#sch2#5797#13,594,MR1,3,R,sch2,5797,13,3240
594,RD#HG#MR1s3#R#rx82#5793#13,595,MR1,3,R,rx82,5793,13,3241
595,RD#HG#MR1s3#R#afdx#5833#13,596,MR1,3,R,afdx,5833,13,3242
596,RD#HG#MR1s3#R#dpog#5813#13,597,MR1,3,R,dpog,5813,13,3243
598,RD#HG#MR1S3#R#dpmg#5817#13,599,MR1,3,R,dpmg,5817,13,3245
600,RD#HG#MR1s3#R#ly34#5837#13,601,MR1,3,R,ly34,5837,13,3247
601,RD#HG#MR1s3#R#cpog#5805#13,602,MR1,3,R,cpog,5805,13,3248
