brain,hemisphere,slab,point,lin,target,x,y,z,source
MR1,R,1.0,0.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#mk80#5637#11#L.TIF,manual_points/MR1_R_1_tgt_0_849.png,19.764778137207,54.7559661865234,-0.831008195877075,manual_points/MR1_R_1_src_0_849.png
MR1,R,1.0,1.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#mk80#5637#11#L.TIF,manual_points/MR1_R_1_tgt_1_849.png,38.4401588439941,54.7559661865234,-3.00980257987976,manual_points/MR1_R_1_src_1_849.png
MR1,R,1.0,2.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#mk80#5637#18#L.TIF,manual_points/MR1_R_1_tgt_2_517.png,31.5925178527832,48.3112297058105,10.4931755065918,manual_points/MR1_R_1_src_2_517.png
MR1,R,1.0,3.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#uk14#5652#22#L.TIF,manual_points/MR1_R_1_tgt_3_283.png,35.3275947570801,41.7244720458984,29.3608570098877,manual_points/MR1_R_1_src_3_283.png
MR1,R,1.0,4.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#sch2#5655#01#L.TIF,manual_points/MR1_R_1_tgt_4_1417.png,21.6323146820068,71.0176696777344,7.26165628433228,manual_points/MR1_R_1_src_4_1417.png
MR1,R,1.0,5.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#musc#5639#06#L.TIF,manual_points/MR1_R_1_tgt_5_1142.png,35.6388511657715,61.1789054870605,15.043065071106,manual_points/MR1_R_1_src_5_1142.png
MR1,R,1.0,6.0,/data/receptor/human//MR1/img_lin/R_slab_1/QW#HG#MR1s1#R#kain#5635#16#L.TIF,manual_points/MR1_R_1_tgt_6_613.png,27.8574409484863,50.2907791137695,-2.07603359222412,manual_points/MR1_R_1_src_6_613.png
MR1,R,2.0,0.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#musc#6129#04#L.TIF,manual_points/MR1_R_2_tgt_0_1033.png,32.7842559814453,35.8157806396484,28.7059898376465,manual_points/MR1_R_2_src_0_1033.png
MR1,R,2.0,1.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#afdx#6197#06#L.TIF,manual_points/MR1_R_2_tgt_1_915.png,39.8659629821777,34.1133995056152,41.6196937561035,manual_points/MR1_R_2_src_1_915.png
MR1,R,2.0,2.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#keta#6146#10#L.TIF,manual_points/MR1_R_2_tgt_2_672.png,12.3722743988037,27.8947639465332,55.3665351867676,manual_points/MR1_R_2_src_2_672.png
MR1,R,2.0,3.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#keta#6146#10#L.TIF,manual_points/MR1_R_2_tgt_3_672.png,17.3711261749268,21.066047668457,9.93525886535645,manual_points/MR1_R_2_src_3_672.png
MR1,R,2.0,4.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#kain#86124#19#L.TIF,manual_points/MR1_R_2_tgt_4_201.png,34.4505386352539,9.56846332550049,-19.6162490844727,manual_points/MR1_R_2_src_4_201.png
MR1,R,2.0,5.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#musc#6132#22#L.TIF,manual_points/MR1_R_2_tgt_5_10.png,61.5276565551758,6.55908536911011,-0.0374109372496605,manual_points/MR1_R_2_src_5_10.png
MR1,R,2.0,6.0,/data/receptor/human//MR1/img_lin/R_slab_2/QY#HG#MR1s2#R#musc#6132#22#L.TIF,manual_points/MR1_R_2_tgt_6_10.png,15.2882719039917,6.55908536911011,22.4574241638184,manual_points/MR1_R_2_src_6_10.png
MR1,R,3.0,0.0,/data/receptor/human//MR1/img_lin/R_slab_3/RD#HG#MR1s3#R#keta#5779#07#L.TIF,manual_points/MR1_R_3_tgt_0_736.png,33.1125068664551,4.95474243164062,52.3620338439941,manual_points/MR1_R_3_src_0_736.png
MR1,R,3.0,1.0,/data/receptor/human//MR1/img_lin/R_slab_3/RD#HG#MR1s3#R#keta#5779#07#L.TIF,manual_points/MR1_R_3_tgt_1_736.png,62.2681694030762,-3.51012539863586,6.129478931427,manual_points/MR1_R_3_src_1_736.png
MR1,R,3.0,2.0,/data/receptor/human//MR1/img_lin/R_slab_3/RD#HG#MR1s3#R#rx82#5792#10#L.TIF,manual_points/MR1_R_3_tgt_2_597.png,37.2082862854004,-7.85838747024536,-46.5696144104004,manual_points/MR1_R_3_src_2_597.png
